Activity,Id_Leg,Checkin,Dep,Arr,Start,End,Checkout,Tempo Solo Diurno,Tempo Solo Noturno,Tempo Solo Especial Diurno,Tempo Solo Especial Noturno
AD4871,-I,2025-07-29 13:10:00,VCP,SLZ,2025-07-29 14:00:00,2025-07-29 17:39:00,2025-07-30 01:03:00,0 days 00:21:00,0 days 01:24:00,0 days 00:00:00,0 days 00:00:00
AD4816,-M,2025-07-29 13:10:00,SLZ,VCP,2025-07-29 19:24:00,2025-07-29 22:35:00,2025-07-30 01:03:00,0 days 00:00:00,0 days 00:58:00,0 days 00:00:00,0 days 00:00:00
AD9000,-F,2025-07-29 13:10:00,VCP,CNF,2025-07-29 23:33:00,2025-07-30 00:33:00,2025-07-30 01:03:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD6073,-I,2025-07-30 13:55:00,CNF,GRU,2025-07-30 15:01:00,2025-07-30 16:12:00,2025-07-30 18:49:00,0 days 00:48:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2835,-F,2025-07-30 13:55:00,GRU,CGB,2025-07-30 17:00:00,2025-07-30 18:19:00,2025-07-30 18:49:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4419,-I,2025-07-31 15:10:00,CGB,CNF,2025-07-31 15:50:00,2025-07-31 19:01:00,2025-08-01 00:48:00,0 days 00:00:00,0 days 02:59:00,0 days 00:00:00,0 days 00:00:00
AD2923,-F,2025-07-31 15:10:00,CNF,POA,2025-07-31 22:00:00,2025-08-01 00:18:00,2025-08-01 00:48:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2838,-I,2025-08-01 13:20:00,POA,GRU,2025-08-01 14:02:00,2025-08-01 15:41:00,2025-08-01 21:44:00,0 days 00:46:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2914,-M,2025-08-01 13:20:00,GRU,POA,2025-08-01 16:27:00,2025-08-01 18:07:00,2025-08-01 21:44:00,0 days 00:00:00,0 days 01:32:00,0 days 00:00:00,0 days 00:00:00
AD2830,-F,2025-08-01 13:20:00,POA,VCP,2025-08-01 19:39:00,2025-08-01 21:14:00,2025-08-01 21:44:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
