Activity,Id_Leg,Checkin,Start,Dep,Arr,End,Checkout,Repouso Extra,Tempo Repouso Extra Diurno,Tempo Repouso Extra Noturno,Tempo Repouso Extra Especial Diurno,Tempo Repouso Extra Especial Noturno
AD2852,-F,01/11/2017 18:55,02/11/2017 02:13,CGR,CGB,02/11/2017 03:31,02/11/2017 04:01,0 days 08:19:00,0 days 01:59:00,0 days 06:20:00,0 days 00:00:00,0 days 03:20:00
AD2898,-IF,03/11/2017 00:20,03/11/2017 00:55,CGB,SMT,03/11/2017 01:51,03/11/2017 02:21,0 days 19:49:00,0 days 07:49:00,0 days 12:00:00,0 days 04:10:00,0 days 09:00:00
AD4446,-F,04/11/2017 10:10,04/11/2017 15:25,GRU,BSB,04/11/2017 17:08,04/11/2017 17:38,0 days 01:42:00,0 days 01:20:00,0 days 00:22:00,0 days 00:00:00,0 days 00:00:00
AD4151,-F,05/11/2017 07:20,05/11/2017 13:49,MCZ,VCP,05/11/2017 16:46,05/11/2017 17:16,0 days 02:19:00,0 days 01:35:00,0 days 00:44:00,0 days 00:00:00,0 days 00:00:00
AD5093,-F,08/11/2017 07:35,08/11/2017 13:15,CWB,VCP,08/11/2017 14:26,08/11/2017 14:56,0 days 07:04:00,0 days 04:00:00,0 days 03:04:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,09/11/2017 10:00,09/11/2017 10:00,VCP,VCP,09/11/2017 19:00,09/11/2017 19:30,0 days 02:30:00,0 days 02:30:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,10/11/2017 10:00,10/11/2017 10:00,VCP,VCP,10/11/2017 19:00,10/11/2017 19:30,0 days 01:50:00,0 days 01:50:00,0 days 00:00:00,0 days 01:50:00,0 days 00:00:00
AD6903,-F,11/11/2017 09:20,11/11/2017 14:26,NAT,VCP,11/11/2017 17:55,11/11/2017 18:25,0 days 03:35:00,0 days 03:35:00,0 days 00:00:00,0 days 03:35:00,0 days 00:00:00
AD5353,-F,NaT,NaT,MCZ,VCP,NaT,NaT,0 days 13:56:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4290,-F,07/01/2018 15:10,07/01/2018 22:06,VCP,POA,07/01/2018 23:45,08/01/2018 00:15,0 days 07:20:00,0 days 05:45:00,0 days 01:35:00,0 days 00:00:00,0 days 00:00:00
AD5127,-F,08/01/2018 19:35,09/01/2018 01:29,CNF,SSA,09/01/2018 03:07,09/01/2018 03:37,0 days 02:23:00,0 days 02:23:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4942,-F,09/01/2018 18:00,10/01/2018 01:10,CNF,BPS,10/01/2018 02:27,10/01/2018 02:57,0 days 02:03:00,0 days 02:03:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4137,-F,10/01/2018 17:00,10/01/2018 20:55,REC,SSA,10/01/2018 22:14,10/01/2018 22:44,0 days 04:11:00,0 days 04:11:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5029,-F,11/01/2018 14:55,11/01/2018 22:00,IOS,VCP,12/01/2018 00:05,12/01/2018 00:35,0 days 01:15:00,0 days 01:15:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2786,-F,NaT,NaT,VCP,FLN,NaT,NaT,0 days 01:13:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2487,-IF,NaT,NaT,FLN,VCP,NaT,NaT,0 days 03:25:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 02:30:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
REU,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 04:30:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4231,-F,NaT,NaT,NVT,VCP,NaT,NaT,0 days 07:40:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9021,-F,NaT,NaT,VCP,CNF,NaT,NaT,0 days 01:45:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5728,-F,NaT,NaT,GRU,FLN,NaT,NaT,0 days 01:55:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4096,-F,NaT,NaT,SSA,VCP,NaT,NaT,0 days 01:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2841,-F,01/02/2018 09:35,01/02/2018 16:47,BVB,MAO,01/02/2018 18:04,01/02/2018 18:34,0 days 07:46:00,0 days 07:46:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2801,-F,02/02/2018 14:20,02/02/2018 21:52,TBT,MAO,02/02/2018 23:38,03/02/2018 00:08,0 days 18:22:00,0 days 06:22:00,0 days 12:00:00,0 days 00:00:00,0 days 00:00:00
AD5245,-F,04/02/2018 06:30,04/02/2018 13:25,TFF,MAO,04/02/2018 14:31,04/02/2018 15:01,0 days 04:04:00,0 days 01:05:00,0 days 02:59:00,0 days 00:00:00,0 days 00:00:00
AD4487,-F,05/02/2018 07:05,05/02/2018 12:45,CGB,VCP,05/02/2018 15:01,05/02/2018 15:31,0 days 06:54:00,0 days 04:25:00,0 days 02:29:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,08/02/2018 12:00,08/02/2018 12:00,VCP,VCP,08/02/2018 17:00,08/02/2018 17:30,0 days 03:45:00,0 days 03:15:00,0 days 00:30:00,0 days 00:00:00,0 days 00:00:00
AD4021,-F,NaT,NaT,SDU,VCP,NaT,NaT,0 days 01:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 00:15:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
