Activity,Id_Leg,Checkin,Checkout,Jornada
AD5046,-I,2017-11-01 18:55:00,2017-11-02 04:01:00,0 days 00:00:00
AD2852,-M,2017-11-01 18:55:00,2017-11-02 04:01:00,0 days 00:00:00
AD2852,-M,2017-11-01 18:55:00,2017-11-02 04:01:00,0 days 00:00:00
AD2852,-F,2017-11-01 18:55:00,2017-11-02 04:01:00,0 days 09:36:00
AD2898,-IF,2017-11-03 00:20:00,2017-11-03 02:21:00,0 days 02:31:00
AD2899,-I,2017-11-04 10:10:00,2017-11-04 17:38:00,0 days 00:00:00
AD2433,-M,2017-11-04 10:10:00,2017-11-04 17:38:00,0 days 00:00:00
AD4446,-F,2017-11-04 10:10:00,2017-11-04 17:38:00,0 days 07:58:00
AD4441,-I,2017-11-05 07:20:00,2017-11-05 17:16:00,0 days 00:00:00
AD4150,-M,2017-11-05 07:20:00,2017-11-05 17:16:00,0 days 00:00:00
AD4151,-F,2017-11-05 07:20:00,2017-11-05 17:16:00,0 days 10:26:00
FR,-IF,2017-11-06 07:35:00,2017-11-07 08:05:00,1 days 01:00:00
FR,-IF,2017-11-07 07:35:00,2017-11-08 08:05:00,1 days 01:00:00
AD5215,-I,2017-11-08 07:35:00,2017-11-08 14:56:00,0 days 00:00:00
AD4013,-M,2017-11-08 07:35:00,2017-11-08 14:56:00,0 days 00:00:00
AD4282,-M,2017-11-08 07:35:00,2017-11-08 14:56:00,0 days 00:00:00
AD5093,-F,2017-11-08 07:35:00,2017-11-08 14:56:00,0 days 07:51:00
SNA,-IF,2017-11-09 10:00:00,2017-11-09 19:30:00,0 days 10:00:00
SNA,-IF,2017-11-10 10:00:00,2017-11-10 19:30:00,0 days 10:00:00
AD6902,-I,2017-11-11 09:20:00,2017-11-11 18:25:00,0 days 00:00:00
AD6903,-F,2017-11-11 09:20:00,2017-11-11 18:25:00,0 days 09:35:00
FER,-IF,2017-12-01 02:00:00,2017-12-02 02:30:00,1 days 01:00:00
FER,-IF,2017-12-02 02:00:00,2017-12-03 02:30:00,1 days 01:00:00
FER,-IF,2017-12-03 02:00:00,2017-12-04 02:30:00,1 days 01:00:00
FER,-IF,2017-12-04 02:00:00,2017-12-05 02:30:00,1 days 01:00:00
FER,-IF,2017-12-05 02:00:00,2017-12-06 02:30:00,1 days 01:00:00
FER,-IF,2017-12-06 02:00:00,2017-12-07 02:30:00,1 days 01:00:00
FER,-IF,2017-12-07 02:00:00,2017-12-08 02:30:00,1 days 01:00:00
FER,-IF,2017-12-08 02:00:00,2017-12-09 02:30:00,1 days 01:00:00
FER,-IF,2017-12-09 02:00:00,2017-12-10 02:30:00,1 days 01:00:00
FER,-IF,2017-12-10 02:00:00,2017-12-11 02:30:00,1 days 01:00:00
FER,-IF,2017-12-11 02:00:00,2017-12-12 02:30:00,1 days 01:00:00
DMI,-IF,2018-01-01 04:05:00,2018-01-02 01:30:00,0 days 21:55:00
DMI,-IF,2018-01-02 02:15:00,2018-01-03 02:10:00,1 days 00:25:00
DMI,-IF,2018-01-03 02:15:00,2018-01-04 02:10:00,1 days 00:25:00
DMI,-IF,2018-01-04 02:15:00,2018-01-05 02:10:00,1 days 00:25:00
SNA,-IF,2018-01-05 10:00:00,2018-01-05 19:30:00,0 days 10:00:00
FR,-IF,2018-01-06 07:00:00,2018-01-07 07:30:00,1 days 01:00:00
AD5065,-I,2018-01-07 15:10:00,2018-01-08 00:15:00,0 days 00:00:00
AD2518,-M,2018-01-07 15:10:00,2018-01-08 00:15:00,0 days 00:00:00
AD4290,-F,2018-01-07 15:10:00,2018-01-08 00:15:00,0 days 09:35:00
AD2769,-I,2018-01-08 19:35:00,2018-01-09 03:37:00,0 days 00:00:00
AD2940,-M,2018-01-08 19:35:00,2018-01-09 03:37:00,0 days 00:00:00
AD5127,-F,2018-01-08 19:35:00,2018-01-09 03:37:00,0 days 08:32:00
AD4286,-I,2018-01-09 18:00:00,2018-01-10 02:57:00,0 days 00:00:00
AD5028,-M,2018-01-09 18:00:00,2018-01-10 02:57:00,0 days 00:00:00
AD4942,-F,2018-01-09 18:00:00,2018-01-10 02:57:00,0 days 09:27:00
AD4990,-I,2018-01-10 17:00:00,2018-01-10 22:44:00,0 days 00:00:00
AD4990,-M,2018-01-10 17:00:00,2018-01-10 22:44:00,0 days 00:00:00
AD4137,-F,2018-01-10 17:00:00,2018-01-10 22:44:00,0 days 06:14:00
AD5388,-I,2018-01-11 14:55:00,2018-01-12 00:35:00,0 days 00:00:00
AD5348,-M,2018-01-11 14:55:00,2018-01-12 00:35:00,0 days 00:00:00
AD5029,-F,2018-01-11 14:55:00,2018-01-12 00:35:00,0 days 10:10:00
AD5066,-I,2018-02-01 09:35:00,2018-02-01 18:34:00,0 days 00:00:00
AD2840,-M,2018-02-01 09:35:00,2018-02-01 18:34:00,0 days 00:00:00
AD2841,-F,2018-02-01 09:35:00,2018-02-01 18:34:00,0 days 09:29:00
AD2840,-I,2018-02-02 14:20:00,2018-02-03 00:08:00,0 days 00:00:00
AD2841,-M,2018-02-02 14:20:00,2018-02-03 00:08:00,0 days 00:00:00
AD2800,-M,2018-02-02 14:20:00,2018-02-03 00:08:00,0 days 00:00:00
AD2801,-F,2018-02-02 14:20:00,2018-02-03 00:08:00,0 days 10:18:00
AD4113,-I,2018-02-04 06:30:00,2018-02-04 15:01:00,0 days 00:00:00
AD2829,-M,2018-02-04 06:30:00,2018-02-04 15:01:00,0 days 00:00:00
AD5244,-M,2018-02-04 06:30:00,2018-02-04 15:01:00,0 days 00:00:00
AD5245,-F,2018-02-04 06:30:00,2018-02-04 15:01:00,0 days 09:01:00
AD9161,-I,2018-02-05 07:05:00,2018-02-05 15:31:00,0 days 00:00:00
AD9110,-M,2018-02-05 07:05:00,2018-02-05 15:31:00,0 days 00:00:00
AD4487,-F,2018-02-05 07:05:00,2018-02-05 15:31:00,0 days 08:56:00
FR,-IF,2018-02-06 10:25:00,2018-02-07 10:55:00,1 days 01:00:00
FR,-IF,2018-02-07 10:25:00,2018-02-08 10:55:00,1 days 01:00:00
SNA,-IF,2018-02-08 12:00:00,2018-02-08 17:30:00,0 days 06:00:00
LOP,-IF,2018-02-09 09:15:00,2018-02-09 22:10:00,0 days 13:25:00
LOP,-IF,2018-02-10 08:30:00,2018-02-10 21:30:00,0 days 13:30:00
LOP,-IF,2018-02-11 05:15:00,2018-02-11 19:45:00,0 days 15:00:00
SE,-IF,2018-03-01 07:00:00,2018-03-01 19:30:00,0 days 13:00:00
SNA,-IF,2018-03-02 12:00:00,2018-03-02 19:30:00,0 days 08:00:00
FR,-IF,2018-03-03 20:40:00,2018-03-04 21:10:00,1 days 01:00:00
AD2498,-I,2018-03-05 00:50:00,2018-03-05 08:55:00,0 days 00:00:00
AD2499,-F,2018-03-05 00:50:00,2018-03-05 08:55:00,0 days 08:35:00
FR,-IF,2018-03-05 22:05:00,2018-03-06 22:35:00,1 days 01:00:00
R21,-IF,2018-03-07 23:50:00,2018-03-08 03:20:00,0 days 04:00:00
SNA,-IF,2018-03-09 12:00:00,2018-03-09 19:30:00,0 days 08:00:00
DMI,-IF,2018-03-09 21:10:00,2018-03-10 01:15:00,0 days 04:35:00
DMI,-IF,2018-03-10 09:15:00,2018-03-11 00:25:00,0 days 15:40:00
DMI,-IF,2018-03-11 08:50:00,2018-03-11 21:50:00,0 days 13:30:00
FR,-IF,2018-04-01 03:00:00,2018-04-02 03:30:00,1 days 01:00:00
FR,-IF,2018-04-02 03:00:00,2018-04-03 03:30:00,1 days 01:00:00
SNA,-IF,2018-04-03 03:01:00,2018-04-04 03:29:00,1 days 00:58:00
