Activity,Id_Leg,Checkin,Checkout,Repouso
AD2852,-F,2017-11-01 18:55:00,2017-11-02 04:01:00,0 days 20:19:00
AD2898,-IF,2017-11-03 00:20:00,2017-11-03 02:21:00,1 days 07:49:00
AD4446,-F,2017-11-04 10:10:00,2017-11-04 17:38:00,0 days 13:42:00
AD4151,-F,2017-11-05 07:20:00,2017-11-05 17:16:00,0 days 14:19:00
FR,-IF,2017-11-06 07:35:00,2017-11-07 08:05:00,-1 days +23:30:00
FR,-IF,2017-11-07 07:35:00,2017-11-08 08:05:00,-1 days +23:30:00
AD5093,-F,2017-11-08 07:35:00,2017-11-08 14:56:00,0 days 19:04:00
SNA,-IF,2017-11-09 10:00:00,2017-11-09 19:30:00,0 days 14:30:00
SNA,-IF,2017-11-10 10:00:00,2017-11-10 19:30:00,0 days 13:50:00
AD6903,-F,2017-11-11 09:20:00,2017-11-11 18:25:00,0 days 15:35:00
FER,-IF,2017-11-30 02:00:00,2017-12-01 02:30:00,-1 days +23:30:00
FER,-IF,2017-12-01 02:00:00,2017-12-02 02:30:00,-1 days +23:30:00
FER,-IF,2017-12-02 02:00:00,2017-12-03 02:30:00,-1 days +23:30:00
FER,-IF,2017-12-03 02:00:00,2017-12-04 02:30:00,-1 days +23:30:00
FER,-IF,2017-12-04 02:00:00,2017-12-05 02:30:00,-1 days +23:30:00
FER,-IF,2017-12-05 02:00:00,2017-12-06 02:30:00,-1 days +23:30:00
FER,-IF,2017-12-06 02:00:00,2017-12-07 02:30:00,-1 days +23:30:00
FER,-IF,2017-12-07 02:00:00,2017-12-08 02:30:00,-1 days +23:30:00
FER,-IF,2017-12-08 02:00:00,2017-12-09 02:30:00,-1 days +23:30:00
FER,-IF,2017-12-09 02:00:00,2017-12-10 02:30:00,-1 days +23:30:00
FER,-IF,2017-12-10 02:00:00,2017-12-11 02:30:00,-1 days +23:30:00
FER,-IF,2017-12-11 02:00:00,2017-12-12 02:30:00,-1 days +23:30:00
DMI,-IF,2017-12-31 04:05:00,2018-01-01 01:30:00,0 days 02:35:00
